,Unnamed: 0,phenotype,peak_gene_id,chrom,pos,y,MR,PCC,gene1_description,gene2_description
0,124,LOC_Os01g09080,LOC_Os08g16050,chr08,9787100,2.31780715786968,524.2728297365792,0.9474714595731066,probable WRKY transcription factor 72,tetraspanin-7
5,267,LOC_Os01g19270,LOC_Os06g49750,chr06,30102041,2.27686574064005,3053.068128948321,0.9131109880128174,,F-box/kelch-repeat protein SKIP25
8,470,LOC_Os01g39330,LOC_Os01g40260,chr01,22730860,2.67715272048086,2.0,0.9986702223378521,putative transcription factor bHLH041,WRKY transcription factor SUSIBA2
12,551,LOC_Os01g45200,LOC_Os07g39220,chr07,23483781,2.7937141258281804,1793.3803277609577,0.9633682546343632,cinnamoyl-CoA reductase-like SNL6,protein BZR1 homolog 1-like
14,919,LOC_Os01g58350,LOC_Os05g33820,chr05,19939998,2.40452708688972,209.39914039938176,0.9837807803529336,,lipase
15,1293,LOC_Os02g12380,LOC_Os05g25390,chr05,14757659,2.0923690726316897,321.9658366970011,0.9600267468400384,histone deacetylase 2-like,wall-associated receptor kinase-like 20
25,1617,LOC_Os02g47470,LOC_Os01g72600,chr01,42120085,2.0579786977401002,536.9832399619191,0.9805540316472684,abscisic acid 8&apos;-hydroxylase 1-like,U-box domain-containing protein 14
31,2024,LOC_Os03g10478,LOC_Os05g06750,chr05,3521098,2.2299020163851098,47.9583152331272,0.9039832203042936,anti-sigma-I factor RsgI6,"dihydrolipoyl dehydrogenase, mitochondrial"
32,2049,LOC_Os03g10640,LOC_Os12g04690,chr12,1984900,3.00971190404821,30.7408522978788,0.9102511921421006,"calcium-transporting ATPase 2, plasma membrane-type",
35,2244,LOC_Os03g20380,LOC_Os01g68650,chr01,39865216,2.58516321236809,1256.0541389605785,0.9713854428366436,CBL-interacting protein kinase 31-like,uncharacterized LOC4324350
36,2644,LOC_Os03g50280,LOC_Os01g40260,chr01,22730860,2.1769566185334797,1427.4494737117664,0.9703669890173324,ACD11 homolog protein,WRKY transcription factor SUSIBA2
40,2924,LOC_Os04g03920,LOC_Os01g72600,chr01,42120085,4.2420745679647895,549.5498157583169,0.9587085136973263,uncharacterized LOC4334993,U-box domain-containing protein 14
41,2993,LOC_Os04g15920,LOC_Os03g08330,chr03,4253422,2.07984899689597,602.0514928143605,0.9774299280079656,probable cinnamyl alcohol dehydrogenase 6,protein TIFY 11b-like
42,3057,LOC_Os04g27670,LOC_Os01g41750,chr01,23635603,2.43097298966314,241.0974906547142,0.94126319178387,(+)-germacrene D synthase,receptor-like protein EIX1
43,3060,LOC_Os04g27670,LOC_Os01g41770,chr01,23639395,2.43097298966314,340.7579786299948,0.9497995477589859,(+)-germacrene D synthase,receptor-like protein EIX2
48,3223,LOC_Os04g43680,LOC_Os01g40260,chr01,22730860,2.12664703125783,1144.8095911547912,0.9748356820636068,transcription factor MYB4-like,WRKY transcription factor SUSIBA2
50,3244,LOC_Os04g44790,LOC_Os01g40260,chr01,22730860,2.41554529600123,2388.7603479629347,0.934960200470736,uncharacterized LOC112938639,WRKY transcription factor SUSIBA2
53,3432,LOC_Os04g57550,LOC_Os01g09770,chr01,5043387,2.32070975929671,75.71657678474378,0.9981731587237368,probable polyamine oxidase 2,uncharacterized LOC4327313
55,3490,LOC_Os05g02310,LOC_Os01g08400,chr01,4121174,2.2905856549028303,1270.8988944837427,0.9137540739435622,soluble inorganic pyrophosphatase 4,syntaxin-32
56,3515,LOC_Os05g02450,LOC_Os02g54254,chr02,33259740,2.02633655455723,303.74495880590354,0.9493686621267696,uncharacterized LOC4337615,alpha-aminoadipic semialdehyde synthase
57,3602,LOC_Os05g18604,LOC_Os08g42960,chr08,27149130,2.47824466266243,267.6396831562913,0.9443747283952754,serine carboxypeptidase 2,ankyrin repeat-containing protein At5g02620
58,3730,LOC_Os05g33940,LOC_Os02g09510,chr02,4880010,2.13062451484188,1842.8933772739001,0.908524749458686,probable carboxylesterase 15,gallate 1-beta-glucosyltransferase
60,3852,LOC_Os05g45410,LOC_Os03g08330,chr03,4253422,2.15821540622927,343.80663169869194,0.9957079643130514,heat stress transcription factor A-4d-like,protein TIFY 11b-like
63,4303,LOC_Os06g17020,LOC_Os05g02450,chr05,838610,2.20819659460942,267.6602323842674,0.9400534670589062,UDP-glycosyltransferase 89B2,uncharacterized LOC4337615
67,4383,LOC_Os06g23770,LOC_Os06g22290,chr06,12933149,2.0164271984814297,82.6559132790873,0.9763800508687981,,probable L-type lectin-domain containing receptor kinase S.5
68,4565,LOC_Os06g45970,LOC_Os01g09770,chr01,5038652,2.02908568692531,670.5162190432085,0.9743434704531992,auxin-responsive protein SAUR50,uncharacterized LOC4327313
77,5093,LOC_Os07g36544,LOC_Os07g35480,chr07,21227848,2.8707121743652304,643.9798133482136,0.9017452972537008,receptor-like serine/threonine-protein kinase SD1-8,"glucan endo-1,3-beta-glucosidase 3"
81,5250,LOC_Os07g46060,LOC_Os08g30520,chr08,18796605,2.52324885255225,29.393876913398138,0.9920167093912328,uncharacterized LOC9272496,UPF0481 protein At3g47200
85,5787,LOC_Os08g40690,LOC_Os05g33960,chr05,20044509,2.61936337058235,176.97457444503155,0.9381209144282172,xylanase inhibitor protein 1-like,protein NRT1/ PTR FAMILY 3.1
