,gene_id,locus,24h-DDW_FPKM,48h-DDW_FPKM,24h-incom_FPKM,48h-incom_FPKM,24h-com_FPKM,48h-com_FPKM
3561,LOC_Os01g40230,Chr1:22698420-22705057,0.0,0.0,0.0,0.0,0.0,0.0
3562,LOC_Os01g40240,Chr1:22705883-22707470,0.0,0.06934349999999999,0.0,0.0,0.0,0.036992500000000005
3563,LOC_Os01g40250,Chr1:22709586-22728525,6.73172,4.80478,5.43562,3.9799599999999997,5.22478,3.81506
3564,LOC_Os01g40260,Chr1:22731942-22733240,0.34174899999999997,1.4871,4.0605400000000005,9.03605,2.27711,1.21559
3565,LOC_Os01g40280,Chr1:22742518-22747184,2.9715599999999998,5.250859999999999,3.87322,6.605410000000001,3.34939,7.562239999999999
3566,LOC_Os01g40290,Chr1:22747335-22748143,0.0957831,0.404928,0.441784,1.70721,0.35033600000000004,1.91067
20478,LOC_Os04g32340,Chr4:19383371-19391637,13.6158,9.09677,13.0812,8.795869999999999,13.4133,9.223889999999999
20479,LOC_Os04g32350,Chr4:19398844-19401436,62.6444,42.4308,66.1053,36.4899,58.8663,39.6366
39498,LOC_Os08g30780,Chr8:19001056-19007607,0.0878349,0.035526800000000004,0.6069359999999999,0.0482855,4.4716,0.616078
39499,LOC_Os08g30790,Chr8:19011783-19016000,27.8242,31.7133,28.3194,33.1154,36.4152,34.3222
