,test_id,gene_id,gene,locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
1834,LOC_Os05g06750,LOC_Os05g06750,LOC_Os05g06750,Chr5:3526716-3530425,24h-DDW,24h-incom,OK,18.2975,24.6224,0.42833,1.41779,0.01445,0.0302219,yes
1907,LOC_Os01g08400,LOC_Os01g08400,LOC_Os01g08400,Chr1:4118040-4122579,24h-DDW,24h-incom,OK,7.81044,10.6827,0.451806,1.29824,0.0235,0.046448,yes
1910,LOC_Os08g16050,LOC_Os08g16050,LOC_Os08g16050,Chr8:9784064-9786925,24h-DDW,24h-incom,OK,48.0577,65.8014,0.453349,1.5147,0.0081,0.0180814,yes
1965,LOC_Os02g05330,LOC_Os02g05330,LOC_Os02g05330,Chr2:2557626-2561096,24h-DDW,24h-incom,OK,44.5372,61.6893,0.470011,1.57794,0.0057,0.0132157,yes
2052,LOC_Os02g54254,LOC_Os02g54254,LOC_Os02g54254,Chr2:33253086-33266582,24h-DDW,24h-incom,OK,111.40299999999999,157.049,0.495425,1.33462,0.02015,0.040563800000000004,yes
2095,LOC_Os07g39220,LOC_Os07g39220,LOC_Os07g39220,Chr7:23483808-23485344,24h-DDW,24h-incom,OK,14.2886,20.3618,0.511006,1.5847,0.00645,0.014764099999999999,yes
2121,LOC_Os01g09770,LOC_Os01g09770,LOC_Os01g09770,Chr1:5037237-5040698,24h-DDW,24h-incom,OK,8.58366,12.2913,0.517972,1.57986,0.0063,0.014456,yes
2123,LOC_Os01g06600,LOC_Os01g06600,LOC_Os01g06600,Chr1:3108116-3113963,24h-DDW,24h-incom,OK,72.0414,103.17399999999999,0.518176,1.69041,0.00325,0.00799562,yes
2360,LOC_Os01g68650,LOC_Os01g68650,LOC_Os01g68650,Chr1:39866337-39867460,24h-DDW,24h-incom,OK,13.8119,20.8305,0.592787,1.74094,0.00205,0.0052997,yes
2433,LOC_Os05g25390,LOC_Os05g25390,LOC_Os05g25390,Chr5:14749755-14754270,24h-DDW,24h-incom,OK,16.6769,25.5927,0.617883,2.03612,0.00055,0.00161234,yes
2494,LOC_Os05g33960,LOC_Os05g33960,LOC_Os05g33960,Chr5:20045193-20050802,24h-DDW,24h-incom,OK,1.67144,2.61139,0.643727,1.342,0.02295,0.045482999999999996,yes
